0.3001	4.2001	0.6404	9.5508	7.2234	17.2639	-9.6146	9.6146
0.3202	4.2202	0.7472	8.4000	14.5983	16.3780	-8.7410	8.7410
0.3210	4.2210	0.7512	8.3515	14.8382	16.3315	-8.7074	8.7074
0.3215	4.2215	0.7538	8.3191	14.9958	16.3001	-8.6851	8.6851
0.3218	4.2218	0.7549	8.3060	15.0592	16.2872	-8.6761	8.6761
0.3218	4.2218	0.7550	8.3048	15.0650	16.2861	-8.6752	8.6752
0.3219	4.2219	0.7557	8.2959	15.1073	16.2774	-8.6692	8.6692
0.3408	4.2408	0.8478	7.1392	19.4272	14.9900	-7.9268	7.9268
0.3633	4.2633	0.9369	5.7350	22.0276	13.0987	-7.1227	7.1227
0.3649	4.2649	0.9405	5.6346	22.1217	12.9523	-7.0681	7.0681
0.3650	4.2650	0.9407	5.6298	22.1260	12.9451	-7.0654	7.0654
0.3653	4.2653	0.9413	5.6127	22.1407	12.9202	-7.0562	7.0562
0.3656	4.2656	0.9421	5.5913	22.1588	12.8887	-7.0446	7.0446
0.3661	4.2661	0.9433	5.5578	22.1862	12.8393	-7.0265	7.0265
0.3662	4.2662	0.9433	5.5559	22.1877	12.8365	-7.0254	7.0254
0.3662	4.2662	0.9434	5.5546	22.1887	12.8347	-7.0248	7.0248
0.3666	4.2666	0.9442	5.5324	22.2061	12.8017	-7.0127	7.0127
0.3820	4.2820	0.9784	4.5950	22.4694	11.3599	-6.5182	6.5182
0.3827	4.2827	0.9787	4.5488	22.4596	11.2862	-6.4943	6.4943
0.4031	4.3031	0.9871	3.3688	21.5420	9.3201	-5.8950	5.8950
0.4041	4.3041	0.9864	3.3146	21.4701	9.2262	-5.8678	5.8678
0.4048	4.3048	0.9860	3.2776	21.4195	9.1619	-5.8492	5.8492
0.4048	4.3048	0.9860	3.2758	21.4171	9.1589	-5.8484	5.8484
0.4048	4.3048	0.9859	3.2747	21.4155	9.1570	-5.8478	5.8478
0.4049	4.3049	0.9858	3.2666	21.4042	9.1428	-5.8437	5.8437
0.4202	4.3202	0.9753	2.4520	19.9877	7.6902	-5.4362	5.4362
0.4407	4.3407	0.9542	1.4545	17.4945	5.8164	-4.9320	4.9320
0.4412	4.3412	0.9523	1.4286	17.4183	5.7661	-4.9187	4.9187
0.4420	4.3420	0.9497	1.3936	17.3148	5.6983	-4.9007	4.9007
0.4420	4.3420	0.9496	1.3922	17.3106	5.6956	-4.9000	4.9000
0.4421	4.3421	0.9495	1.3912	17.3079	5.6938	-4.8995	4.8995
0.4422	4.3422	0.9490	1.3846	17.2882	5.6809	-4.8961	4.8961
0.4633	4.3633	0.8785	0.4993	14.3044	3.9160	-4.4288	4.4288
0.4642	4.3642	0.8719	0.4663	14.1795	3.8484	-4.4108	4.4108
0.4648	4.3648	0.8674	0.4441	14.0948	3.8028	-4.3987	4.3987
0.4649	4.3649	0.8667	0.4403	14.0802	3.7950	-4.3966	4.3966
0.4808	4.3808	0.7439	-0.1259	11.7466	2.6056	-4.0758	4.0758
0.4820	4.3820	0.7356	-0.1658	11.5692	2.5198	-4.0523	4.0523
0.4825	4.3825	0.7322	-0.1815	11.4988	2.4860	-4.0430	4.0430
0.4825	4.3825	0.7320	-0.1828	11.4933	2.4833	-4.0422	4.0422
0.4827	4.3827	0.7312	-0.1865	11.4764	2.4752	-4.0400	4.0400
0.4828	4.3828	0.7300	-0.1924	11.4500	2.4625	-4.0365	4.0365
0.5002	4.4002	0.6116	-0.7028	8.9857	1.3341	-3.7177	3.7177
0.5200	4.4200	0.5053	-1.1706	6.3625	0.2372	-3.3836	3.3836
0.5212	4.4212	0.4971	-1.1951	6.2120	0.1773	-3.3643	3.3643
0.5218	4.4218	0.4932	-1.2065	6.1421	0.1496	-3.3554	3.3554
0.5219	4.4219	0.4919	-1.2102	6.1189	0.1404	-3.3524	3.3524
0.5220	4.4220	0.4918	-1.2106	6.1164	0.1394	-3.3521	3.3521
0.5221	4.4221	0.4908	-1.2135	6.0982	0.1322	-3.3497	3.3497
0.5409	4.4409	0.3614	-1.5364	3.9186	-0.6947	-3.0636	3.0636
0.5637	4.4637	0.1019	-1.7984	1.6996	-1.4581	-2.7487	2.7487
0.5649	4.4649	0.0822	-1.8085	1.5967	-1.4913	-2.7331	2.7331
0.5653	4.4653	0.0769	-1.8112	1.5689	-1.5002	-2.7288	2.7288
0.5656	4.4656	0.0713	-1.8140	1.5399	-1.5095	-2.7244	2.7244
0.5658	4.4658	0.0684	-1.8154	1.5249	-1.5142	-2.7221	2.7221
0.5661	4.4661	0.0637	-1.8177	1.5009	-1.5219	-2.7184	2.7184
0.5666	4.4666	0.0554	-1.8217	1.4585	-1.5354	-2.7119	2.7119
0.5666	4.4666	0.0549	-1.8220	1.4559	-1.5362	-2.7115	2.7115
0.5666	4.4666	0.0546	-1.8221	1.4541	-1.5368	-2.7112	2.7112
0.5669	4.4669	0.0498	-1.8244	1.4296	-1.5446	-2.7074	2.7074
0.5838	4.4838	-0.2259	-1.9231	0.1608	-1.9260	-2.4993	2.4993
0.5999	4.4999	-0.4994	-1.9613	-0.8092	-2.1798	-2.3145	2.3145
0.6012	4.5012	-0.5091	-1.9621	-0.8773	-2.1959	-2.3002	2.3002
0.6018	4.5018	-0.5129	-1.9624	-0.9034	-2.2019	-2.2946	2.2946
0.6019	4.5019	-0.5141	-1.9625	-0.9120	-2.2039	-2.2928	2.2928
0.6019	4.5019	-0.5143	-1.9625	-0.9130	-2.2042	-2.2925	2.2925
0.6021	4.5021	-0.5153	-1.9625	-0.9205	-2.2059	-2.2910	2.2910
0.6201	4.5201	-0.6495	-1.9420	-1.7011	-2.3601	-2.1028	2.1028
0.6406	4.5406	-0.7859	-1.8596	-2.2813	-2.4107	-1.9077	1.9077
0.6412	4.5412	-0.7904	-1.8565	-2.2935	-2.4105	-1.9024	1.9024
0.6420	4.5420	-0.7969	-1.8520	-2.3104	-2.4100	-1.8949	1.8949
0.6421	4.5421	-0.7971	-1.8518	-2.3110	-2.4099	-1.8947	1.8947
0.6421	4.5421	-0.7973	-1.8517	-2.3114	-2.4099	-1.8945	1.8945
0.6422	4.5422	-0.7984	-1.8509	-2.3144	-2.4098	-1.8932	1.8932
0.6632	4.5632	-0.9610	-1.7127	-2.5998	-2.3423	-1.7140	1.7140
0.6640	4.5640	-0.9669	-1.7060	-2.6064	-2.3375	-1.7069	1.7069
0.6643	4.5643	-0.9687	-1.7040	-2.6082	-2.3360	-1.7048	1.7048
0.6650	4.5650	-0.9733	-1.6987	-2.6130	-2.3321	-1.6992	1.6992
0.6812	4.5812	-1.0823	-1.5642	-2.6596	-2.2153	-1.5735	1.5735
0.6820	4.5820	-1.0834	-1.5569	-2.6588	-2.2083	-1.5674	1.5674
0.6823	4.5823	-1.0838	-1.5544	-2.6585	-2.2058	-1.5652	1.5652
0.6825	4.5825	-1.0841	-1.5522	-2.6582	-2.2037	-1.5634	1.5634
0.6826	4.5826	-1.0842	-1.5520	-2.6581	-2.2034	-1.5632	1.5632
0.6829	4.5829	-1.0847	-1.5486	-2.6576	-2.2002	-1.5604	1.5604
0.7003	4.6003	-1.1079	-1.3868	-2.5769	-2.0293	-1.4372	1.4372
0.7200	4.6200	-1.0921	-1.1903	-2.3749	-1.7984	-1.3084	1.3084
0.7207	4.6207	-1.0929	-1.1839	-2.3669	-1.7905	-1.3045	1.3045
0.7211	4.6211	-1.0935	-1.1793	-2.3613	-1.7850	-1.3017	1.3017
0.7211	4.6211	-1.0935	-1.1789	-2.3608	-1.7845	-1.3014	1.3014
0.7212	4.6212	-1.0935	-1.1787	-2.3605	-1.7842	-1.3013	1.3013
0.7218	4.6218	-1.0943	-1.1724	-2.3525	-1.7764	-1.2975	1.2975
0.7407	4.6407	-1.1186	-0.9795	-2.0789	-1.5322	-1.1857	1.1857
0.7632	4.6632	-1.1353	-0.7546	-1.7050	-1.2336	-1.0655	1.0655
0.7643	4.6643	-1.1318	-0.7445	-1.6872	-1.2199	-1.0603	1.0603
